fraction,task,seed,model,threshold,macro_f1,micro_f1,prediction
10pct,form,42,clear_hug,0.5,0.0970562660436103,0.33789411064842356,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\form-seed42\formal-test\hug\test_predictions.npz
10pct,form,42,heartlang,0.5,0.07858394020589095,0.25375170532060026,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\form-seed42\heartlang\formal-test\test_predictions.npz
10pct,form,42,hilar,0.5,0.1618235855912673,0.36757872999483737,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\form-seed42\formal-test\paired\test_predictions.npz
10pct,form,46,clear_hug,0.5,0.10234855309811122,0.36363636363636365,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\form-seed46\formal-test\hug\test_predictions.npz
10pct,form,46,heartlang,0.5,0.08536986055157592,0.30440414507772023,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\form-seed46\heartlang\formal-test\test_predictions.npz
10pct,form,46,hilar,0.5,0.18772776768698932,0.40334378265412746,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\form-seed46\formal-test\paired\test_predictions.npz
10pct,form,55,clear_hug,0.5,0.12820517399572698,0.35978835978835977,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\10pct\form-seed55\formal-test\hug\test_predictions.npz
10pct,form,55,heartlang,0.5,0.08431712050573127,0.271343481138319,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\form-seed55\heartlang\formal-test\test_predictions.npz
10pct,form,55,hilar,0.5,0.16054303330826633,0.37024608501118567,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\10pct\form-seed55\formal-test\paired\test_predictions.npz
10pct,rhythm,42,clear_hug,0.5,0.2562762712321704,0.8511550369135509,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\rhythm-seed42\formal-test\hug\test_predictions.npz
10pct,rhythm,42,heartlang,0.5,0.2530785217102826,0.8328060355317596,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\rhythm-seed42\heartlang\formal-test\test_predictions.npz
10pct,rhythm,42,hilar,0.5,0.3026124538316304,0.8716216216216216,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\rhythm-seed42\formal-test\paired\test_predictions.npz
10pct,rhythm,46,clear_hug,0.5,0.31363288826839597,0.8227474150664698,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\rhythm-seed46\formal-test\hug\test_predictions.npz
