fraction,task,seed,model,macro_auroc,macro_auprc
1pct,rhythm,46,stmem,0.8728195525992785,0.3620219508811406
1pct,rhythm,55,heartlang,0.539687934888036,0.17564710266113726
1pct,rhythm,55,stmem,0.8792252253267159,0.35020142054818143
1pct,cpsc2018,42,heartlang,0.5991628323002791,0.18043320942396004
1pct,cpsc2018,42,stmem,0.7864588448786531,0.40359477943004096
1pct,cpsc2018,46,heartlang,0.5904684517642237,0.1883942184455178
1pct,cpsc2018,46,stmem,0.7982885327906784,0.46983691945225314
1pct,cpsc2018,55,heartlang,0.6069470604249911,0.17789619473838864
1pct,cpsc2018,55,stmem,0.8177564810887602,0.49666585529176527
1pct,csn,42,heartlang,0.6857637092362101,0.11838940657933889
1pct,csn,42,stmem,0.7610549608747564,0.20083205276138352
1pct,csn,46,heartlang,0.6829826989112182,0.1269422419736325
1pct,csn,46,stmem,0.7389465924945301,0.20954715917721642
1pct,csn,55,heartlang,0.6671792194073437,0.1195865890426001
1pct,csn,55,stmem,0.73759354167172,0.1920289784084472
